sym,slot,K,H,n,mean,lo,hi,ctrl_n,ctrl_mean
SOL,1400ET_FOMC,5,15,1,-0.21444144630330192,,,67,-0.14728021203336322
SOL,1400ET_FOMC,5,30,1,-0.5922072315164713,,,67,-0.137778396738802
SOL,1400ET_FOMC,5,60,1,0.04189962223420174,,,67,-0.19264430427463633
XRP,0830ET,3,15,10,0.030936256334480522,-0.17893538392397818,0.24620934184753265,58,-0.10871879035972035
XRP,0830ET,3,30,10,0.08120586412558659,-0.17345437680036058,0.3378949250111292,58,-0.0833551121197937
XRP,0830ET,3,60,10,0.6543362125887753,0.11613354890751039,1.2350723603051383,58,-0.09173057522117756
XRP,0830ET,5,15,5,0.2569532852867372,0.010305922819919123,0.4620913449318545,63,-0.11557291593575653
XRP,0830ET,5,30,5,0.34641520717514707,0.08174052775793271,0.6440289824688289,63,-0.09134307773917308
XRP,0830ET,5,60,5,1.1889697673859694,0.296288404331579,1.9406757497039577,63,-0.07495015990270464
XRP,1000ET,3,15,2,-0.14170255613596822,,,66,-0.1771081738460385
XRP,1000ET,3,30,2,-0.06767904262757393,,,66,-0.10402949962791344
XRP,1000ET,3,60,2,0.4494737547050163,,,66,-0.17696177240150246
XRP,1000ET,5,15,0,,,,68,-0.17606683214868354
XRP,1000ET,5,30,0,,,,68,-0.10296036853966817
XRP,1000ET,5,60,0,,,,68,-0.15853719807484015
XRP,1400ET_FOMC,3,15,3,0.05262143247382466,-0.21178522257915466,0.2495832948350738,65,-0.2224325342514264
XRP,1400ET_FOMC,3,30,3,-0.24279578789844322,-0.46878384580080806,0.12834437086091818,65,-0.19976146775639858
XRP,1400ET_FOMC,3,60,3,-0.1003574444494643,-0.3766225165562999,0.4066561951399832,65,-0.2950221363840735
XRP,1400ET_FOMC,5,15,2,0.18482476000031434,,,66,-0.22227121134730107
XRP,1400ET_FOMC,5,30,2,-0.12980175894726076,,,66,-0.20383756439343512
XRP,1400ET_FOMC,5,60,2,0.015016839291841638,,,66,-0.2955688617711644
DOGE,0830ET,3,15,1,-0.23405759908753457,,,67,-0.10475698772673106
DOGE,0830ET,3,30,1,-0.3053435985172387,,,67,-0.0929768750567949
DOGE,0830ET,3,60,1,-0.13425719988593687,,,67,-0.11480298405656611
DOGE,0830ET,5,15,0,,,,68,-0.10665846730556641
DOGE,0830ET,5,30,0,,,,68,-0.09609991510768377
DOGE,0830ET,5,60,0,,,,68,-0.11508907546582156
DOGE,1000ET,3,15,1,-0.02511047851430037,,,67,-0.06627640841325898
DOGE,1000ET,3,30,1,-0.20133387555917648,,,67,0.007578959617281207
DOGE,1000ET,3,60,1,-0.5402250237223867,,,67,-0.00547053651290819
DOGE,1000ET,5,15,0,,,,68,-0.06567102709121547
DOGE,1000ET,5,30,0,,,,68,0.004506712041156819
DOGE,1000ET,5,60,0,,,,68,-0.01333457308951817
DOGE,1400ET_FOMC,3,15,1,-0.345542712151124,,,67,-0.18713648308208172
DOGE,1400ET_FOMC,3,30,1,-0.7543388779250154,,,67,-0.21072893543477075
DOGE,1400ET_FOMC,3,60,1,-0.06361432196222389,,,67,-0.30593118274527387
DOGE,1400ET_FOMC,5,15,0,,,,68,-0.1894659864507441
DOGE,1400ET_FOMC,5,30,0,,,,68,-0.21872319929492143
DOGE,1400ET_FOMC,5,60,0,,,,68,-0.3023676994984643
