pair,adf_p,beta,tr_sharpe,te_sharpe,te_total,te_trades,te_sharpe_maker
AAVE/XLM,0.019983001315662385,1.172870436112556,1.1457529736025258,-0.27474875101603813,-0.5580169688975252,37,-0.20137023886574024
AAVE/XRP,0.2213888430999515,0.7743666537710039,1.3372311184380248,0.39004863617891866,0.23590168047004442,25,0.5520048584138503
ADA/ALGO,0.5971017368923673,0.5609695068075075,-0.6202546212648875,0.38462845675622,0.33089403487246466,36,0.5488014013847353
ADA/APE,0.49925848744019735,0.24514073613802803,-0.14095790206128478,-0.05209098497711983,-0.06879427328063001,31,0.043150722123573
ADA/ARB,0.9614554040659608,0.3947804461944592,-1.411787483621675,0.9082443203307523,0.7523188983529842,22,1.011424308120616
ADA/ATOM,0.3072904118676717,1.1455044292342689,-0.10833619386546144,0.7094805280879635,1.010854631584142,44,0.8310024362164795
ADA/AVAX,0.00013252866591277593,0.663477744898246,0.20282970417365423,-0.35453651285018783,-0.3154974098327385,28,-0.22801533945807817
ADA/BCH,0.012188205252642524,0.8191248916812031,-0.6623923026192964,-0.9599461636711973,-1.4927702083463272,32,-0.8746963998948318
ADA/BNB,0.7951929789913961,0.84848000301684,-0.4344706571479204,-0.7891493718345154,-1.209249898084479,30,-0.7068385762577999
ADA/BTC,0.05809932510792566,1.5442928466171182,-1.3690220017488086,-0.9770821614444384,-1.2128206961119274,30,-0.8755440072703927
ADA/COMP,0.001491668123300852,0.626275614312998,-0.4350153077780016,0.41769820191240736,0.6669188208092189,44,0.5271472716671941
ADA/CRV,0.07367999474295946,0.7805687923607733,0.19618310622899485,0.09361208492011594,0.10914365007293436,32,0.20427324589263252
ADA/DOGE,0.28687642858765083,0.7470270738234592,-0.1257906178044273,-0.07161969858433055,-0.07911721614355116,38,0.0675082837047786
ADA/DOT,0.04389767695943177,0.8618169150168468,0.7718399262684855,0.40877339882393127,0.4258771441985093,35,0.542418800085651
ADA/ETC,0.5012476721759359,0.9434333273232164,-0.1506081460687488,0.2536687566529191,0.35572208804835825,42,0.3729005698773271
ADA/ETH,0.4433862371510153,1.5339503885723826,-0.8178230288773696,-0.8533246780803598,-1.2667391003921664,39,-0.7459083193731858
ADA/FET,0.22913098128653464,0.1167407840004975,-0.2003378420615425,-0.3947756516208781,-0.5144404197004515,30,-0.30005466316170853
ADA/FIL,0.017020055159104368,0.6524655704530673,0.04020885095601003,0.34628809770847074,0.4622404375235328,31,0.4389401071282424
ADA/LINK,0.5453871697811395,0.772111416222126,0.05950413470197495,-0.7506710342473352,-0.6750108741907074,28,-0.6215830059310429
ADA/LTC,0.009396410974012863,1.152776326589297,-0.3787987898994431,-0.15625566118396256,-0.23964230548330356,36,-0.06083988164786201
ADA/MANA,0.5187682704301938,0.596305291312677,0.5595918764757501,-0.22749336641631943,-0.21233964513289108,27,-0.1092177147671998
ADA/MKR,0.012745730731798924,1.0151761720564432,-0.2986727596500624,-1.4197487757044274,-2.5998024165910767,28,-1.3563587271707191
ADA/NEAR,0.02890173800776078,0.5220865894508191,0.44712526797451285,-0.33251511833974434,-0.3978472323027072,30,-0.22981755288897063
ADA/OP,0.15257140154788273,0.2880806639410805,-0.6910698082719512,-0.07882242968787287,-0.09501127627616623,29,0.018988476538001394
ADA/SAND,0.6943059928209756,0.41365616826219326,-0.34190689248093387,-0.005949237289050844,-0.005967230484810987,24,0.08943738041634537
ADA/SHIB,1.7642422201472072e-06,0.9536233677683272,-0.5990332482457728,-0.6146518203269685,-0.7681983399297962,32,-0.5091866441088525
ADA/SOL,0.7061909194962324,0.5238997085696273,-0.06927701435789814,-0.398442536050688,-0.49071152569470905,38,-0.2720541040880097
ADA/SUI,0.32898764038560824,0.43699029292927744,-1.608211179060909,0.237273944082909,0.10771237283588808,18,0.39904003283955486
ADA/UNI,0.0874771349923475,0.9410511574196195,-0.06401407107212989,0.2515272643270587,0.35748973120495614,42,0.369538976945503
ADA/XLM,0.1626090429693477,1.0059986137952277,-0.18778184881180138,0.584617126980399,1.0120846448818308,40,0.6750385199566574
ADA/XRP,0.3621008813838047,0.7192344174751896,-0.8000403372977267,0.9819413512406069,0.48416110523460687,23,1.1648661637043631
ALGO/APE,0.4826327184833834,0.6674238017783408,-0.5491783937482877,-0.6775395093738106,-0.8734772512064306,26,-0.595301635016605
ALGO/ARB,0.688763924267846,0.43602646353803803,-1.4542524628392501,0.11632054965255333,0.07143000267919371,17,0.22626909116229235
ALGO/ATOM,0.3027371304870514,1.4100301754593558,0.7046444699848554,0.15861976921971424,0.18517159093211616,31,0.2655784475967001
ALGO/AVAX,0.7161200301772542,0.822586216724998,-0.18533198186034697,-0.10734514777474859,-0.11173863067568207,32,0.015575895287300232
ALGO/BCH,0.1875516867205424,0.38701548910223726,-0.419727349445706,-0.7124192685757736,-0.9318553165446609,29,-0.6215898010408258
ALGO/BNB,0.8805716927139656,2.154380625567072,-0.7691054274018011,-1.3842347038520886,-2.206910181110012,27,-1.313935661228157
ALGO/BTC,0.10884020198865829,0.37630851919807645,-0.5823309779715957,0.13220335596625887,0.16856485594004322,32,0.2317078638574414
