ts,o,h,l,close,vol,dt
1748131200000,4.713,4.761,4.465,4.727,2848.63,2025-05-25 00:00:00+00:00
1748217600000,4.779,4.949,4.681,4.684,1395.55,2025-05-26 00:00:00+00:00
1748304000000,4.752,4.909,4.567,4.567,2220.38,2025-05-27 00:00:00+00:00
1748390400000,4.572,4.572,4.312,4.452,9463.13,2025-05-28 00:00:00+00:00
1748476800000,4.458,4.526,4.18,4.18,1938.69,2025-05-29 00:00:00+00:00
1748563200000,4.218,4.231,3.8,3.8,3744.56,2025-05-30 00:00:00+00:00
1748649600000,3.786,3.919,3.638,3.857,2136.36,2025-05-31 00:00:00+00:00
1748736000000,3.866,3.987,3.781,3.907,2634.01,2025-06-01 00:00:00+00:00
1748822400000,3.896,4.001,3.789,3.97,1396.15,2025-06-02 00:00:00+00:00
1748908800000,3.959,4.14,3.86,3.86,1973.7,2025-06-03 00:00:00+00:00
1748995200000,3.856,4.01,3.724,3.776,1811.29,2025-06-04 00:00:00+00:00
1749081600000,3.794,3.838,3.478,3.591,1840.6,2025-06-05 00:00:00+00:00
1749168000000,3.527,3.853,3.527,3.74,1815.37,2025-06-06 00:00:00+00:00
1749254400000,3.794,3.927,3.794,3.842,1433.24,2025-06-07 00:00:00+00:00
1749340800000,3.891,3.92,3.787,3.861,405.83,2025-06-08 00:00:00+00:00
1749427200000,3.842,4.071,3.802,4.043,3078.91,2025-06-09 00:00:00+00:00
1749513600000,4.043,4.186,3.959,4.159,3893.22,2025-06-10 00:00:00+00:00
1749600000000,4.163,4.166,3.82,3.848,1312.86,2025-06-11 00:00:00+00:00
1749686400000,3.856,3.907,3.531,3.531,4320.37,2025-06-12 00:00:00+00:00
1749772800000,3.527,3.527,3.263,3.451,10618.03,2025-06-13 00:00:00+00:00
1749859200000,3.457,3.478,3.307,3.397,571.33,2025-06-14 00:00:00+00:00
1749945600000,3.399,3.483,3.351,3.456,805.43,2025-06-15 00:00:00+00:00
1750032000000,3.466,3.622,3.405,3.405,861.71,2025-06-16 00:00:00+00:00
1750118400000,3.4,3.474,3.155,3.2,3069.81,2025-06-17 00:00:00+00:00
1750204800000,3.229,3.283,3.068,3.249,1556.42,2025-06-18 00:00:00+00:00
1750291200000,3.242,3.313,3.157,3.175,402.99,2025-06-19 00:00:00+00:00
1750377600000,3.157,3.227,2.964,3.04,3092.37,2025-06-20 00:00:00+00:00
1750464000000,3.086,3.097,2.827,2.935,2025.09,2025-06-21 00:00:00+00:00
1750550400000,2.944,2.99,2.61,2.796,5328.85,2025-06-22 00:00:00+00:00
1750636800000,2.79,3.214,2.731,3.214,5088.34,2025-06-23 00:00:00+00:00
1750723200000,3.194,3.354,3.166,3.172,2430.0,2025-06-24 00:00:00+00:00
1750809600000,3.235,3.27,3.063,3.093,1466.23,2025-06-25 00:00:00+00:00
1750896000000,3.102,3.181,2.952,2.974,1357.02,2025-06-26 00:00:00+00:00
1750982400000,3.044,3.262,2.95,3.135,1788.09,2025-06-27 00:00:00+00:00
1751068800000,3.16,3.259,3.155,3.259,968.03,2025-06-28 00:00:00+00:00
1751155200000,3.26,3.445,3.194,3.371,2025.14,2025-06-29 00:00:00+00:00
1751241600000,3.355,3.362,3.152,3.203,1014.5,2025-06-30 00:00:00+00:00
1751328000000,3.202,3.226,3.029,3.039,1726.45,2025-07-01 00:00:00+00:00
1751414400000,3.081,3.348,3.081,3.286,4161.26,2025-07-02 00:00:00+00:00
1751500800000,3.273,3.425,3.249,3.33,1584.58,2025-07-03 00:00:00+00:00
1751587200000,3.286,3.286,3.096,3.162,2569.85,2025-07-04 00:00:00+00:00
1751673600000,3.136,3.176,3.122,3.162,47.73,2025-07-05 00:00:00+00:00
1751760000000,3.181,3.273,3.17,3.218,329.78,2025-07-06 00:00:00+00:00
1751846400000,3.259,3.259,3.118,3.118,341.47,2025-07-07 00:00:00+00:00
1751932800000,3.162,3.224,3.114,3.195,299.38,2025-07-08 00:00:00+00:00
1752019200000,3.219,3.379,3.197,3.353,8582.91,2025-07-09 00:00:00+00:00
1752105600000,3.353,3.684,3.349,3.648,3699.63,2025-07-10 00:00:00+00:00
1752192000000,3.629,3.896,3.575,3.662,6465.12,2025-07-11 00:00:00+00:00
1752278400000,3.602,3.712,3.471,3.575,2693.66,2025-07-12 00:00:00+00:00
1752364800000,3.604,3.831,3.604,3.763,1261.61,2025-07-13 00:00:00+00:00
1752451200000,3.782,3.937,3.684,3.741,3046.54,2025-07-14 00:00:00+00:00
1752537600000,3.781,4.1,3.634,3.937,5279.57,2025-07-15 00:00:00+00:00
1752624000000,3.903,4.14,3.802,4.01,6415.82,2025-07-16 00:00:00+00:00
1752710400000,4.032,4.206,3.918,4.174,3970.68,2025-07-17 00:00:00+00:00
1752796800000,4.169,4.381,3.927,4.041,6147.84,2025-07-18 00:00:00+00:00
1752883200000,4.043,4.219,3.95,4.171,2638.91,2025-07-19 00:00:00+00:00
1752969600000,4.155,4.51,4.14,4.348,1974.12,2025-07-20 00:00:00+00:00
1753056000000,4.332,4.71,4.283,4.584,2423.74,2025-07-21 00:00:00+00:00
1753142400000,4.567,4.629,4.272,4.594,7146.82,2025-07-22 00:00:00+00:00
1753228800000,4.567,4.584,4.031,4.155,4116.78,2025-07-23 00:00:00+00:00
1753315200000,4.14,4.219,3.831,4.049,4767.61,2025-07-24 00:00:00+00:00
1753401600000,4.031,4.204,3.901,4.204,1963.79,2025-07-25 00:00:00+00:00
1753488000000,4.208,4.282,4.182,4.24,1472.06,2025-07-26 00:00:00+00:00
1753574400000,4.267,4.371,4.208,4.333,1721.05,2025-07-27 00:00:00+00:00
1753660800000,4.346,4.433,4.024,4.024,1936.99,2025-07-28 00:00:00+00:00
1753747200000,4.065,4.2,3.86,3.948,1834.46,2025-07-29 00:00:00+00:00
1753833600000,3.903,3.96,3.66,3.879,2274.56,2025-07-30 00:00:00+00:00
1753920000000,3.879,4.046,3.705,3.705,2407.71,2025-07-31 00:00:00+00:00
1754006400000,3.701,3.726,3.426,3.542,3577.72,2025-08-01 00:00:00+00:00
1754092800000,3.547,3.59,3.349,3.428,928.69,2025-08-02 00:00:00+00:00
1754179200000,3.402,3.59,3.376,3.59,1179.67,2025-08-03 00:00:00+00:00
1754265600000,3.598,3.717,3.538,3.715,560.94,2025-08-04 00:00:00+00:00
1754352000000,3.693,3.693,3.451,3.531,1705.31,2025-08-05 00:00:00+00:00
1754438400000,3.507,3.631,3.423,3.598,944.58,2025-08-06 00:00:00+00:00
