ts,o,h,l,close,vol,dt
1670371200000,0.516,0.521,0.498,0.507,11483.11,2022-12-07 00:00:00+00:00
1670457600000,0.502,0.532,0.497,0.532,22591.04,2022-12-08 00:00:00+00:00
1670544000000,0.534,0.534,0.52,0.524,14875.56,2022-12-09 00:00:00+00:00
1670630400000,0.518,0.519,0.51,0.517,2688.62,2022-12-10 00:00:00+00:00
1670716800000,0.515,0.522,0.505,0.505,16104.38,2022-12-11 00:00:00+00:00
1670803200000,0.503,0.503,0.488,0.501,36255.3,2022-12-12 00:00:00+00:00
1670889600000,0.502,0.526,0.494,0.518,28388.04,2022-12-13 00:00:00+00:00
1670976000000,0.518,0.521,0.448,0.505,36856.44,2022-12-14 00:00:00+00:00
1671062400000,0.505,0.505,0.492,0.5,15172.11,2022-12-15 00:00:00+00:00
1671148800000,0.5,0.501,0.441,0.442,9339.39,2022-12-16 00:00:00+00:00
1671235200000,0.442,0.448,0.431,0.448,2767.07,2022-12-17 00:00:00+00:00
1671321600000,0.447,0.453,0.445,0.453,2871.58,2022-12-18 00:00:00+00:00
1671408000000,0.446,0.446,0.414,0.418,4425.54,2022-12-19 00:00:00+00:00
1671494400000,0.423,0.436,0.423,0.436,3178.34,2022-12-20 00:00:00+00:00
1671580800000,0.429,0.429,0.416,0.416,4021.06,2022-12-21 00:00:00+00:00
1671667200000,0.417,0.435,0.417,0.423,2152.16,2022-12-22 00:00:00+00:00
1671753600000,0.43,0.444,0.429,0.429,5854.31,2022-12-23 00:00:00+00:00
1671840000000,0.43,0.431,0.43,0.431,2550.9,2022-12-24 00:00:00+00:00
1671926400000,0.429,0.429,0.412,0.414,1939.05,2022-12-25 00:00:00+00:00
1672012800000,0.414,0.414,0.414,0.414,0.0,2022-12-26 00:00:00+00:00
1672099200000,0.414,0.414,0.414,0.414,48.08,2022-12-27 00:00:00+00:00
1672185600000,0.419,0.447,0.419,0.423,56809.72,2022-12-28 00:00:00+00:00
1672272000000,0.422,0.429,0.416,0.416,5630.46,2022-12-29 00:00:00+00:00
1672358400000,0.416,0.416,0.404,0.405,1336.65,2022-12-30 00:00:00+00:00
1672444800000,0.405,0.41,0.399,0.407,2539.34,2022-12-31 00:00:00+00:00
1672531200000,0.404,0.405,0.399,0.403,3853.8,2023-01-01 00:00:00+00:00
1672617600000,0.407,0.416,0.407,0.412,2393.83,2023-01-02 00:00:00+00:00
1672704000000,0.413,0.417,0.405,0.406,5823.08,2023-01-03 00:00:00+00:00
1672790400000,0.409,0.418,0.409,0.414,58746.27,2023-01-04 00:00:00+00:00
1672876800000,0.416,0.425,0.406,0.422,18258.06,2023-01-05 00:00:00+00:00
1672963200000,0.418,0.418,0.41,0.417,24778.78,2023-01-06 00:00:00+00:00
1673049600000,0.42,0.43,0.416,0.416,30192.9,2023-01-07 00:00:00+00:00
1673136000000,0.416,0.43,0.413,0.43,40760.56,2023-01-08 00:00:00+00:00
1673222400000,0.432,0.45,0.432,0.443,57663.98,2023-01-09 00:00:00+00:00
1673308800000,0.446,0.46,0.435,0.446,13344.63,2023-01-10 00:00:00+00:00
1673395200000,0.448,0.456,0.438,0.448,4007.49,2023-01-11 00:00:00+00:00
1673481600000,0.449,0.466,0.445,0.463,63959.71,2023-01-12 00:00:00+00:00
1673568000000,0.458,0.551,0.457,0.543,77361.78,2023-01-13 00:00:00+00:00
1673654400000,0.546,0.6,0.529,0.552,40330.93,2023-01-14 00:00:00+00:00
1673740800000,0.553,0.605,0.526,0.57,39007.95,2023-01-15 00:00:00+00:00
1673827200000,0.575,0.625,0.573,0.617,41593.44,2023-01-16 00:00:00+00:00
1673913600000,0.612,0.612,0.577,0.577,183845.02,2023-01-17 00:00:00+00:00
1674000000000,0.586,0.589,0.52,0.54,41834.66,2023-01-18 00:00:00+00:00
1674086400000,0.547,0.567,0.539,0.567,14103.65,2023-01-19 00:00:00+00:00
1674172800000,0.563,0.74,0.563,0.708,77453.06,2023-01-20 00:00:00+00:00
1674259200000,0.705,0.737,0.686,0.689,63307.2,2023-01-21 00:00:00+00:00
1674345600000,0.689,0.708,0.662,0.684,26613.7,2023-01-22 00:00:00+00:00
1674432000000,0.685,0.88,0.685,0.868,90742.61,2023-01-23 00:00:00+00:00
1674518400000,0.866,0.876,0.778,0.783,58285.65,2023-01-24 00:00:00+00:00
1674604800000,0.783,0.937,0.775,0.88,217406.57,2023-01-25 00:00:00+00:00
1674691200000,0.881,0.92,0.858,0.878,140340.38,2023-01-26 00:00:00+00:00
1674777600000,0.879,0.891,0.822,0.865,127552.59,2023-01-27 00:00:00+00:00
1674864000000,0.865,1.377,0.862,1.191,455999.39,2023-01-28 00:00:00+00:00
1674950400000,1.198,1.433,1.154,1.289,448363.91,2023-01-29 00:00:00+00:00
1675036800000,1.289,1.322,1.165,1.205,57634.1,2023-01-30 00:00:00+00:00
1675123200000,1.206,1.495,1.176,1.417,188335.66,2023-01-31 00:00:00+00:00
1675209600000,1.42,5.032,1.352,1.528,434233.06,2023-02-01 00:00:00+00:00
1675296000000,1.528,1.79,1.505,1.715,195211.61,2023-02-02 00:00:00+00:00
1675382400000,1.735,1.735,1.542,1.7,103268.81,2023-02-03 00:00:00+00:00
1675468800000,1.696,1.744,1.633,1.667,75610.86,2023-02-04 00:00:00+00:00
1675555200000,1.665,1.879,1.646,1.76,170567.24,2023-02-05 00:00:00+00:00
1675641600000,1.76,2.178,1.737,1.871,111115.49,2023-02-06 00:00:00+00:00
1675728000000,1.864,2.2,1.826,2.136,110032.84,2023-02-07 00:00:00+00:00
1675814400000,2.132,2.136,1.604,1.749,106233.12,2023-02-08 00:00:00+00:00
1675900800000,1.75,1.793,1.322,1.368,436620.24,2023-02-09 00:00:00+00:00
1675987200000,1.373,1.518,1.313,1.481,405669.18,2023-02-10 00:00:00+00:00
1676073600000,1.475,1.477,1.355,1.453,83697.33,2023-02-11 00:00:00+00:00
1676160000000,1.445,1.682,1.395,1.545,229832.21,2023-02-12 00:00:00+00:00
