sym,side,ts,k,v,fwd6,fwd12,fwd24,fwd48,fwd72
BTC,-1,2025-09-05 14:00:00+00:00,5.0,2.0,-2.1533394857331523,-45.89870256772155,16.349094330745384,-66.37352297197197,-184.5357653402835
BTC,-1,2025-09-25 17:00:00+00:00,5.0,2.0,-58.43067182863982,-45.51654662504623,-81.41873384585274,-54.69890326446958,-131.42075598645332
BTC,-1,2025-10-10 20:00:00+00:00,5.0,2.0,169.87249930606185,227.67293064210992,295.2103835878661,-54.402981349925824,-126.66008775578331
BTC,-1,2025-10-30 04:00:00+00:00,5.0,2.0,-108.23917124459737,98.24006517389682,-125.06715989446081,-146.40165810061222,-181.0160750605694
BTC,-1,2025-12-01 00:00:00+00:00,5.0,2.0,52.81629405095134,115.09651364162265,63.7866281516708,-601.804470468641,-709.3114447953019
BTC,-1,2025-12-12 15:00:00+00:00,5.0,2.0,-45.163178268265995,-50.7265163156001,-20.9070243818843,120.67992892279334,390.24591066836865
BTC,-1,2025-12-17 15:00:00+00:00,5.0,2.0,102.19282803828888,52.294837375670426,-91.96322388497879,-86.97457163532762,-104.81903807316506
BTC,-1,2025-12-26 14:00:00+00:00,5.0,2.0,-8.002280478212054,-14.47050432684005,-19.026881480386226,-51.44813801014392,-33.18828484454972
BTC,-1,2026-01-18 23:00:00+00:00,5.0,2.0,116.12965247624673,64.44170285036854,100.5452923803274,504.33937374158245,401.0489267727346
BTC,-1,2026-01-21 16:00:00+00:00,5.0,2.0,-211.6403325026095,-276.8456567474775,-223.90701988025842,-343.95837092909386,-206.31791507432106
BTC,-1,2026-01-29 15:00:00+00:00,5.0,2.0,44.08762872633587,236.7516263423286,211.91037360820175,538.1682491333828,875.415640448487
BTC,-1,2026-02-23 01:00:00+00:00,5.0,2.0,-195.2086284450405,-235.1574343298779,47.40425954919414,-228.6339123735659,-596.2033102214259
BTC,-1,2026-02-28 06:00:00+00:00,5.0,2.0,-300.9022792171701,-506.1601106111646,-629.5365385864127,-445.54886672653504,-791.050378444127
BTC,1,2025-07-09 19:00:00+00:00,5.0,2.0,-47.83232634484214,-45.37043419720388,155.42148936417811,529.5664294596291,474.59013971909326
BTC,1,2025-07-10 21:00:00+00:00,5.0,2.0,32.81236582224123,129.6006869901234,97.49248604551397,75.69772434521171,174.32374409617867
BTC,1,2025-08-11 02:00:00+00:00,5.0,2.0,-36.097290323002795,-126.32410080976709,-248.34738758377827,-194.18503677852584,128.37601590316217
BTC,1,2025-08-22 14:00:00+00:00,5.0,2.0,104.92591178518308,-20.1006500966594,-85.42128440303554,-120.18063807254786,-312.2899883732366
BTC,1,2025-09-02 13:00:00+00:00,5.0,2.0,22.36343232339344,18.754685296562545,97.74214827540595,-116.64982284741777,-53.42025524010641
BTC,1,2025-10-21 14:00:00+00:00,5.0,2.0,-121.6003624377504,-354.40240578758943,-334.62172343431183,-202.95265478517788,-189.521767668841
BTC,1,2025-12-09 15:00:00+00:00,5.0,2.0,23.691311386939695,-14.743658931463122,-55.94171613599652,-318.8343227199142,-286.5515380464101
BTC,1,2025-12-17 14:00:00+00:00,5.0,2.0,-412.68421011528164,-342.44198824759155,-130.34305560359115,-186.76219727844833,-166.12240845138015
BTC,1,2025-12-26 02:00:00+00:00,5.0,2.0,-40.54963544587786,-229.78126752664085,-187.7173303421198,-162.64722378014574,104.85698261357257
BTC,1,2026-01-13 22:00:00+00:00,5.0,2.0,-80.27727782205729,-102.07801676995976,123.21021365141904,-17.05826866407523,-22.90801174544832
BTC,1,2026-01-21 19:00:00+00:00,5.0,2.0,-45.37643171611094,-48.39931259910113,-103.6748487452277,-93.95290949516743,-106.55378291950512
BTC,1,2026-02-25 01:00:00+00:00,5.0,2.0,-55.86439483781902,164.32848081948893,359.1174063371705,207.17961488644355,11.342947253019098
BTC,1,2026-03-23 11:00:00+00:00,5.0,2.0,135.7215610975282,78.54560809364975,117.6900230244482,226.97769167781877,-99.41597217665077
BTC,1,2026-04-07 22:00:00+00:00,5.0,2.0,31.437433630918665,23.728476830455758,-60.49642323991744,38.572765696680555,202.2237052520226
DOGE,-1,2025-09-22 00:00:00+00:00,5.0,2.0,491.13397110034816,325.02101428971696,479.526077732858,387.8637473481972,498.3388704318936
DOGE,-1,2025-10-10 20:00:00+00:00,5.0,2.0,1160.726540696343,1119.092281648899,1576.6116118406003,542.1604062771656,147.77874365191846
DOGE,-1,2025-10-30 04:00:00+00:00,5.0,2.0,-24.010244370931133,370.29132429836744,130.18888058905165,75.76566001494034,-8.003414790309638
DOGE,-1,2025-11-03 15:00:00+00:00,5.0,2.0,62.93832044596215,-154.04903194868868,401.6064257028118,-34.76592938919776,495.1147875082429
DOGE,-1,2025-12-17 15:00:00+00:00,5.0,2.0,251.7902517902537,344.96034496034554,98.56009856009874,-88.55008855008784,-150.92015092015077
DOGE,-1,2025-12-18 17:00:00+00:00,5.0,2.0,103.6185541973611,-230.7131870800605,-620.901805229499,-690.5205213308508,-495.42621225613146
DOGE,-1,2025-12-26 14:00:00+00:00,5.0,2.0,62.8776743426418,-62.06108116936227,-42.4628450106157,-140.45402580434407,-129.0217213784084
DOGE,-1,2026-01-18 23:00:00+00:00,5.0,2.0,362.6273376919564,288.1252850843841,222.74593279610679,488.8246921088635,341.3410369469361
DOGE,-1,2026-01-21 16:00:00+00:00,5.0,2.0,-478.20321564727266,-513.840543676447,-377.09265705287544,-463.28526437924734,-285.09862423338194
DOGE,-1,2026-01-31 14:00:00+00:00,5.0,2.0,391.3124882980723,181.61392997566028,265.8678150159144,-245.27242089496414,-303.31398614491746
DOGE,1,2025-07-02 16:00:00+00:00,5.0,2.0,-186.75820339771997,121.596462648359,-58.76192692576332,-528.2755410751694,-498.6036769839419
DOGE,1,2025-07-06 13:00:00+00:00,5.0,2.0,-150.91939400948328,4.047646582630016,-258.471146062218,-245.1717358621497,-39.89823060020936
DOGE,1,2025-08-22 14:00:00+00:00,5.0,2.0,558.8621444201314,129.9781181619264,344.85776805251555,113.34792122538184,-445.51422319474955
DOGE,1,2025-09-13 09:00:00+00:00,5.0,2.0,-172.87590458322177,-341.39640846957974,-289.46663093004645,-1153.8461538461543,-1172.2728491021185
DOGE,1,2025-10-01 08:00:00+00:00,5.0,2.0,117.28267602725717,130.08465826966687,659.5085690687586,600.867231055131,355.56473260375697
DOGE,1,2025-12-09 15:00:00+00:00,5.0,2.0,164.84268125855016,68.39945280437743,-30.095759233925712,-640.2188782489749,-751.7099863201094
DOGE,1,2026-01-01 15:00:00+00:00,5.0,2.0,158.8957547548353,292.91389134098455,1099.430222293556,1326.538801059305,2190.032902656289
DOGE,1,2026-01-21 19:00:00+00:00,5.0,2.0,-78.86928002498905,-129.62673746681253,-321.72419178510216,-338.122754958613,-302.202092769015
DOGE,1,2026-02-25 14:00:00+00:00,5.0,2.0,426.90174326466047,-15.847860538826808,-239.698890649761,-692.3534072900151,-1011.2916006339145
DOGE,1,2026-04-14 13:00:00+00:00,5.0,2.0,-461.5226125476457,-411.0435768002485,-325.53827135057276,-173.07097970536756,401.77191717317487
ETH,-1,2025-09-05 14:00:00+00:00,5.0,2.0,-53.891696886128045,-109.70308062919099,9.177039608758708,-60.04874131751548,-230.38583364742848
ETH,-1,2025-09-22 00:00:00+00:00,5.0,2.0,327.291606576291,295.2408422267083,395.0850879723111,336.8445341794046,540.5018748197288
ETH,-1,2025-09-25 17:00:00+00:00,5.0,2.0,-242.03698829685428,-212.56413797776207,-531.7360837852414,-409.12798409352024,-529.8077098474763
ETH,-1,2025-10-10 15:00:00+00:00,5.0,2.0,603.5895435037064,688.6217323449096,691.4016777214205,-7.778969957079607,-153.55540382364418
