sym,t,wk,fwd48,fwd24,abs,sgn,sa48,sa24
BNB,2025-07-06 23:00:00+00:00,0.016414296223639102,-0.004131483715319684,-0.003377563329312383,0.016414296223639102,1.0,-41.314837153196834,-33.77563329312383
BNB,2025-07-13 23:00:00+00:00,0.0011134408213435698,-0.0031768035580198584,-0.0049384855311037645,0.0011134408213435698,1.0,-31.768035580198585,-49.38485531103765
BNB,2025-07-20 23:00:00+00:00,0.04331055763720526,0.040194900371050224,0.012174670874542937,0.04331055763720526,1.0,401.9490037105022,121.74670874542937
BNB,2025-07-27 23:00:00+00:00,0.08578664541177083,-0.046579295987888125,-0.024791824375473115,0.08578664541177083,1.0,-465.7929598788813,-247.91824375473115
BNB,2025-08-03 23:00:00+00:00,-0.010415157939089204,0.00497413185439366,0.022702788971791232,0.010415157939089204,-1.0,-49.7413185439366,-227.02788971791233
BNB,2025-08-10 23:00:00+00:00,0.013798038895654674,0.03163929960125822,-0.00286053941600406,0.013798038895654674,1.0,316.3929960125822,-28.605394160040596
BNB,2025-08-17 23:00:00+00:00,0.03476556829728561,-0.0364513942453778,-0.009887104691115534,0.03476556829728561,1.0,-364.513942453778,-98.87104691115533
BNB,2025-08-24 23:00:00+00:00,-0.022090883746863632,-0.014253298213206533,-0.042600257699631716,0.022090883746863632,-1.0,142.53298213206534,426.00257699631715
BNB,2025-08-31 23:00:00+00:00,0.002453041771796949,-0.006597197939249955,-0.013707252255402591,0.002453041771796949,1.0,-65.97197939249955,-137.0725225540259
BNB,2025-09-07 23:00:00+00:00,0.03350585032097553,-0.0003974246880215082,-0.0028046827983239098,0.03350585032097553,1.0,-3.974246880215082,-28.046827983239098
BNB,2025-09-14 23:00:00+00:00,0.0010366051182377767,0.03204644036340887,-0.0075638231295452885,0.0010366051182377767,1.0,320.4644036340887,-75.63823129545288
BNB,2025-09-21 23:00:00+00:00,0.06953301160073866,-0.03026111180011637,-0.052441781704047896,0.06953301160073866,1.0,-302.6111180011637,-524.417817040479
BNB,2025-09-28 23:00:00+00:00,0.04126628173825564,0.015554056638914293,0.037460611490873985,0.04126628173825564,1.0,155.54056638914292,374.60611490873987
BNB,2025-10-05 23:00:00+00:00,-0.011697787408373128,0.1176541095890411,0.04856164383561645,0.011697787408373128,-1.0,-1176.541095890411,-485.6164383561645
BNB,2025-10-12 23:00:00+00:00,0.08871008171654893,-0.07343110845056378,-0.006899515729207439,0.08871008171654893,1.0,-734.3110845056377,-68.9951572920744
BNB,2025-10-19 23:00:00+00:00,0.028972734272805667,-0.04726908753167358,-0.008187777847912914,0.028972734272805667,1.0,-472.6908753167358,-81.87777847912913
BNB,2025-10-26 23:00:00+00:00,0.02485926593109644,-0.030917959309223364,0.0006767148569670756,0.02485926593109644,1.0,-309.17959309223363,6.767148569670756
BNB,2025-11-02 23:00:00+00:00,-0.0021928208152133255,-0.1356569107192318,-0.0826701135629212,0.0021928208152133255,-1.0,1356.5691071923181,826.701135629212
BNB,2025-11-09 23:00:00+00:00,0.007973690867695504,-0.03843682868557885,-0.004728061193760125,0.007973690867695504,1.0,-384.3682868557885,-47.28061193760125
BNB,2025-11-16 23:00:00+00:00,0.00810478563113981,0.006320035374941968,-0.02185049772974834,0.00810478563113981,1.0,63.200353749419676,-218.5049772974834
BNB,2025-11-23 23:00:00+00:00,0.024729877382542176,0.022557638082600917,0.02555505532782032,0.024729877382542176,1.0,225.57638082600917,255.5505532782032
BNB,2025-11-30 23:00:00+00:00,-0.016235955056179807,0.001747672625506791,-0.055708492775144336,0.016235955056179807,-1.0,-17.47672625506791,557.0849277514434
BNB,2025-12-07 23:00:00+00:00,0.015548040039040423,0.0033637298287962913,0.0028161459031781355,0.015548040039040423,1.0,33.63729828796291,28.161459031781355
BNB,2025-12-14 23:00:00+00:00,0.00028491976659372753,-0.002039746570035028,-0.021514198459364642,0.00028491976659372753,1.0,-20.39746570035028,-215.1419845936464
BNB,2025-12-21 23:00:00+00:00,-0.0018820577164366803,-0.01742480677902969,-0.00019787689729022784,0.0018820577164366803,-1.0,174.2480677902969,1.9787689729022784
BNB,2025-12-28 23:00:00+00:00,0.02796141110088346,0.002418857787442885,-0.008245048900466179,0.02796141110088346,1.0,24.18857787442885,-82.45048900466179
BNB,2026-01-04 23:00:00+00:00,0.018296909981475817,0.024957585498705193,0.01672024287882845,0.018296909981475817,1.0,249.5758549870519,167.20242878828452
BNB,2026-01-11 23:00:00+00:00,0.012479294444195599,0.04339080459770117,0.0013483642793987727,0.012479294444195599,1.0,433.90804597701174,13.483642793987727
BNB,2026-01-18 23:00:00+00:00,-0.0026852099491843084,-0.05098472496352868,-0.009139277439285998,0.0026852099491843084,-1.0,509.8472496352868,91.39277439285998
BNB,2026-01-25 23:00:00+00:00,-0.02765685306525445,0.03715413195486117,0.015103962338171906,0.02765685306525445,-1.0,-371.5413195486117,-151.03962338171905
BNB,2026-02-01 23:00:00+00:00,-0.11859778769287965,-0.004665875840253131,0.020442862791617333,0.11859778769287965,-1.0,46.658758402531305,-204.42862791617333
BNB,2026-02-08 23:00:00+00:00,-0.026458729554963867,-0.031519207016775797,-0.0049717796782414725,0.026458729554963867,-1.0,315.19207016775795,49.71779678241472
BNB,2026-02-15 23:00:00+00:00,-0.004788636694546544,0.0043582905093346724,0.019905028296363758,0.004788636694546544,-1.0,-43.582905093346724,-199.05028296363758
BNB,2026-02-22 23:00:00+00:00,-0.02261889623601221,-0.05135543883043592,-0.030426227375473514,0.02261889623601221,-1.0,513.5543883043591,304.26227375473513
BNB,2026-03-01 23:00:00+00:00,0.011354712041884651,0.0247015432398332,0.03172215212397678,0.011354712041884651,1.0,247.01543239833202,317.22152123976775
BNB,2026-03-08 23:00:00+00:00,-0.027751287430860083,0.04925134039492618,0.03718778605989281,0.027751287430860083,-1.0,-492.5134039492618,-371.8778605989281
BNB,2026-03-15 23:00:00+00:00,0.025496310945462897,-0.009365737996443246,0.007276229994072514,0.025496310945462897,1.0,-93.65737996443247,72.76229994072514
BNB,2026-03-22 23:00:00+00:00,-0.02119975610900038,0.01891641657620835,0.020416959325713524,0.02119975610900038,-1.0,-189.1641657620835,-204.16959325713523
BNB,2026-03-29 23:00:00+00:00,-0.00812049770792389,0.019342487457089996,0.00574333245312908,0.00812049770792389,-1.0,-193.42487457089996,-57.43332453129079
BNB,2026-04-05 23:00:00+00:00,0.022460456344823854,0.02950204921432964,-0.0036836079446461722,0.022460456344823854,1.0,295.0204921432964,-36.836079446461724
BNB,2026-04-12 23:00:00+00:00,-0.02928356056633452,0.036715057393652994,0.03830182309250518,0.02928356056633452,-1.0,-367.15057393652995,-383.01823092505185
BNB,2026-04-19 23:00:00+00:00,-0.03903131237524948,0.025341921248600796,0.021415708097409114,0.03903131237524948,-1.0,-253.41921248600795,-214.15708097409114
BTC,2025-06-29 23:00:00+00:00,0.011647229707955065,-0.02453038898491633,-0.01122043463487421,0.011647229707955065,1.0,-245.30388984916328,-112.2043463487421
BTC,2025-07-06 23:00:00+00:00,0.01393542442108342,-0.0027016924742886417,-0.008539327077939585,0.01393542442108342,1.0,-27.016924742886417,-85.39327077939585
BTC,2025-07-13 23:00:00+00:00,0.011906330743312488,-0.010747068733012122,0.006838432680633666,0.011906330743312488,1.0,-107.47068733012122,68.38432680633666
BTC,2025-07-20 23:00:00+00:00,-0.0011646273618421965,0.023572240096349617,0.0009757795147713466,0.0011646273618421965,-1.0,-235.72240096349617,-9.757795147713466
BTC,2025-07-27 23:00:00+00:00,0.020245364175599967,-0.012889874526606393,-0.011554908637748551,0.020245364175599967,1.0,-128.89874526606394,-115.54908637748551
BTC,2025-08-03 23:00:00+00:00,0.0020664095212847844,-0.0006342370627464566,0.007440021234677463,0.0020664095212847844,1.0,-6.342370627464566,74.40021234677462
BTC,2025-08-10 23:00:00+00:00,0.020601961007495895,0.006844973057823722,-0.004949880676262786,0.020601961007495895,1.0,68.44973057823722,-49.49880676262786
BTC,2025-08-17 23:00:00+00:00,0.000795790583400624,-0.03842748090301906,-0.010042161225138568,0.000795790583400624,1.0,-384.2748090301906,-100.42161225138568
BTC,2025-08-24 23:00:00+00:00,-0.030285832965105675,-0.015515819013841137,-0.02986380911417741,0.030285832965105675,-1.0,155.15819013841136,298.6380911417741
BTC,2025-08-31 23:00:00+00:00,0.004095134846144655,0.027594105689741744,0.00931974719654205,0.004095134846144655,1.0,275.9410568974174,93.1974719654205
BTC,2025-09-07 23:00:00+00:00,-0.004281244706698439,0.003249269364430374,0.008174477664198543,0.004281244706698439,-1.0,-32.49269364430374,-81.74477664198542
BTC,2025-09-14 23:00:00+00:00,-0.007154787531408857,0.01280589695938028,0.0006428976725543212,0.007154787531408857,-1.0,-128.0589695938028,-6.428976725543212
BTC,2025-09-21 23:00:00+00:00,-0.0008318312952455553,-0.028248979946175923,-0.02245594235610726,0.0008318312952455553,-1.0,282.4897994617592,224.5594235610726
BTC,2025-09-28 23:00:00+00:00,0.026223316958062126,0.016844311644293786,0.01927663559737769,0.026223316958062126,1.0,168.44311644293785,192.76635597377688
BTC,2025-10-05 23:00:00+00:00,0.008028641396063962,-0.017003032233075088,0.009796819315535332,0.008028641396063962,1.0,-170.0303223307509,97.96819315535332
