sym,mech,t,side,gross,net,net_feeonly,bars,why,tp_pct,sl_pct,truncated,slice,seen_sym
ZEC,C1_pw_tp0.5,2026-06-23 08:00:00+00:00,-1,0.0946076241093056,0.09130762410930558,0.09340762410930559,1440,TIME,11.525527361663098,3.289591632466139,False,OVERLAP_0601_0705,True
ZEC,C1_pw_tp0.5,2026-07-04 16:00:00+00:00,1,-0.01111404560066153,-0.01302029560066153,-0.01231404560066153,102,SL,10.498492678725237,1.111404560066153,False,OVERLAP_0601_0705,True
ZEC,C1_pw_tp0.5,2026-07-07 17:00:00+00:00,1,-0.07698645527936045,-0.07898124694602712,-0.07818645527936045,187,SL,4.33561454171447,7.698645527936045,False,OOS_0706_0803,True
ZEC,C1_pw_tp0.5,2026-07-15 00:00:00+00:00,1,-0.04689954130006791,-0.04926099963340125,-0.04809954130006791,539,SL,6.7811166398101665,4.689954130006791,False,OOS_0706_0803,True
ZEC,C1_pw_tp0.5,2026-07-24 23:00:00+00:00,-1,-0.01749667776950826,-0.01981542776950826,-0.01869667776950826,498,SL,9.352665735644452,1.7496677769508262,False,OOS_0706_0803,True
ZEC,C1_pw_tp0.5,2026-07-28 09:00:00+00:00,-1,-0.021092971371291375,-0.02355338803795804,-0.022292971371291374,634,SL,8.060765111267582,2.1092971371291376,False,OOS_0706_0803,True
ZEC,C2_pw_tp0.25,2026-06-15 04:00:00+00:00,1,0.033223257823591215,0.03133784115692455,0.032023257823591215,82,TP,3.3223257823591217,2.88612912003558,False,OVERLAP_0601_0705,True
ZEC,C2_pw_tp0.25,2026-06-23 08:00:00+00:00,-1,0.049008771723537924,0.04681189672353792,0.047808771723537924,381,TP,4.900877172353792,3.289591632466139,False,OVERLAP_0601_0705,True
ZEC,C2_pw_tp0.25,2026-07-04 16:00:00+00:00,1,-0.01111404560066153,-0.01302029560066153,-0.01231404560066153,102,SL,5.313845822566756,1.111404560066153,False,OVERLAP_0601_0705,True
ZEC,C2_pw_tp0.25,2026-07-15 00:00:00+00:00,1,0.01909319497813119,0.017154653311464527,0.017893194978131192,133,TP,1.9093194978131192,4.689954130006791,False,OOS_0706_0803,True
ZEC,C2_pw_tp0.25,2026-07-24 23:00:00+00:00,-1,-0.01749667776950826,-0.01981542776950826,-0.01869667776950826,498,SL,4.3241189517785275,1.7496677769508262,False,OOS_0706_0803,True
ZEC,C2_pw_tp0.25,2026-07-28 09:00:00+00:00,-1,-0.021092971371291375,-0.02355338803795804,-0.022292971371291374,634,SL,3.576991188205421,2.1092971371291376,False,OOS_0706_0803,True
ZEC,F_pw_failed_breakout,2026-07-04 17:00:00+00:00,-1,-0.02967731804959316,-0.03235960971625983,-0.03087731804959316,847,SL,10.162715517241374,2.967731804959316,False,OVERLAP_0601_0705,True
ZEC,F_pw_failed_breakout,2026-07-08 09:00:00+00:00,-1,-0.09587069717607953,-0.09832798884274621,-0.09707069717607954,631,SL,10.26485143257651,9.587069717607953,False,OOS_0706_0803,True
ZEC,F_pw_failed_breakout,2026-07-16 10:00:00+00:00,-1,-0.02410453216374258,-0.02680453216374258,-0.02530453216374258,864,TIME,9.909539473684212,8.299202472079958,False,OOS_0706_0803,True
ZEC,F_pw_failed_breakout,2026-07-26 07:00:00+00:00,1,-0.04257273945260966,-0.04495503111927633,-0.04377273945260966,559,SL,9.617886178861776,4.257273945260966,False,OOS_0706_0803,True
ZEC,F_pw_failed_breakout,2026-07-28 16:00:00+00:00,1,-0.050735175032078146,-0.052685175032078146,-0.051935175032078146,144,SL,7.820024287090161,5.073517503207815,False,OOS_0706_0803,True
