trig_idx,entry_idx,dt,side,bar_dir,atr,range,ratio,gross,net,exit_reason,month,sym
618,619,2025-07-09 12:00:00,-1,1,0.005035866302044435,0.012699999999999934,2.5219096851010625,-0.005700325732899118,-0.007020325732899118,time,2025-07,ADA
637,638,2025-07-10 07:00:00,-1,1,0.005975530237503998,0.018000000000000016,3.0122849830174543,-0.03822873526600831,-0.039548735266008314,time,2025-07,ADA
647,648,2025-07-10 17:00:00,-1,1,0.006931546070438015,0.021299999999999986,3.072907513497058,-0.05781226228510579,-0.05913226228510579,time,2025-07,ADA
651,652,2025-07-10 21:00:00,-1,1,0.007664150023890574,0.02059999999999995,2.68783882567355,-0.07142857142857133,-0.07274857142857133,time,2025-07,ADA
669,670,2025-07-11 15:00:00,1,-1,0.01270300183479182,0.047599999999999976,3.7471458021544133,-0.012466124661246594,-0.013786124661246594,time,2025-07,ADA
807,808,2025-07-17 09:00:00,-1,1,0.012815747432710415,0.034499999999999975,2.692000617298646,-0.01148573545757685,-0.01280573545757685,time,2025-07,ADA
892,893,2025-07-20 22:00:00,1,-1,0.012529487149981587,0.047599999999999976,3.799038175323076,0.04149184149184145,0.04017184149184145,time,2025-07,ADA
919,920,2025-07-22 01:00:00,-1,1,0.014258429133307413,0.03839999999999999,2.6931437987301377,0.04069638500776233,0.039376385007762325,time,2025-07,ADA
954,955,2025-07-23 12:00:00,1,-1,0.01152134212099247,0.03520000000000001,3.0551996139289903,-0.012691570881226117,-0.014011570881226117,time,2025-07,ADA
955,956,2025-07-23 13:00:00,1,-1,0.013212674826635866,0.04049999999999998,3.065238532802964,0.006598240469208163,0.005278240469208163,time,2025-07,ADA
1129,1130,2025-07-30 19:00:00,-1,1,0.010925466474411333,0.03489999999999993,3.1943716162362166,-0.028947368421052656,-0.030267368421052654,time,2025-07,ADA
1172,1173,2025-08-01 14:00:00,-1,1,0.011097909453003303,0.029299999999999993,2.640136876596237,0.017818280739934713,0.016498280739934715,time,2025-08,ADA
1230,1231,2025-08-04 00:00:00,-1,1,0.006241525358401103,0.017100000000000004,2.7397148962926794,-0.00027012425715841306,-0.001590124257158413,time,2025-08,ADA
1268,1269,2025-08-05 14:00:00,1,-1,0.007965198071048856,0.021399999999999975,2.6866877394778994,-0.012396694214876044,-0.013716694214876044,time,2025-08,ADA
1312,1313,2025-08-07 10:00:00,-1,1,0.0055074007614447345,0.021600000000000064,3.9219953178663944,-0.03222848159308275,-0.033548481593082755,time,2025-08,ADA
1318,1319,2025-08-07 16:00:00,1,-1,0.007036435015643507,0.02310000000000001,3.282912433447299,0.04998670566338735,0.04866670566338735,time,2025-08,ADA
1326,1327,2025-08-08 00:00:00,-1,1,0.008381898043754384,0.023399999999999976,2.7917304502929445,0.0022825259954348375,0.0009625259954348375,time,2025-08,ADA
1470,1471,2025-08-14 00:00:00,-1,1,0.01275093824935776,0.0351999999999999,2.76058116756803,0.016213333333333323,0.014893333333333323,time,2025-08,ADA
1471,1472,2025-08-14 01:00:00,-1,1,0.014354442660117912,0.04139999999999999,2.8841245167271383,0.01963048498845271,0.01831048498845271,time,2025-08,ADA
1476,1477,2025-08-14 06:00:00,-1,1,0.01816603513157308,0.04600000000000004,2.532198119558337,0.11639795517105786,0.11507795517105786,time,2025-08,ADA
1482,1483,2025-08-14 12:00:00,1,-1,0.021001295918817987,0.09099999999999997,4.333065938014824,0.002927463948823632,0.001607463948823632,time,2025-08,ADA
1605,1606,2025-08-19 15:00:00,1,-1,0.01680658322051975,0.04259999999999997,2.534721034075988,-0.025965073529411714,-0.027285073529411716,time,2025-08,ADA
1676,1677,2025-08-22 14:00:00,-1,1,0.011908270375765048,0.07769999999999999,6.524877043279944,0.002987386589953569,0.001667386589953569,time,2025-08,ADA
1727,1728,2025-08-24 17:00:00,-1,1,0.00874819585599224,0.023900000000000032,2.7319918750595056,0.02666666666666662,0.02534666666666662,time,2025-08,ADA
1728,1729,2025-08-24 18:00:00,-1,1,0.009830467580564226,0.030399999999999983,3.0924266573142143,0.07014028056112225,0.06882028056112224,time,2025-08,ADA
1729,1730,2025-08-24 19:00:00,1,-1,0.011299719896238208,0.05790000000000006,5.12402081924841,-0.0553809472201148,-0.0567009472201148,time,2025-08,ADA
1842,1843,2025-08-29 12:00:00,-1,1,0.009618345744211535,0.02429999999999999,2.526421969663972,0.015496483490284912,0.014176483490284912,time,2025-08,ADA
1866,1867,2025-08-30 12:00:00,1,-1,0.008298229870362451,0.02200000000000002,2.65116782057028,0.026714268127539013,0.02539426812753901,time,2025-08,ADA
1909,1910,2025-09-01 07:00:00,-1,1,0.008037726426565313,0.04039999999999999,5.026296972048568,0.031984723714046946,0.030664723714046944,time,2025-09,ADA
1939,1940,2025-09-02 13:00:00,-1,1,0.008870424293515549,0.024800000000000044,2.795807638889306,-0.015537751881524684,-0.016857751881524684,time,2025-09,ADA
2010,2011,2025-09-05 12:00:00,-1,1,0.005849515254717946,0.02070000000000005,3.538754768321084,0.012902462121212146,0.011582462121212146,time,2025-09,ADA
2012,2013,2025-09-05 14:00:00,1,-1,0.00695238815330272,0.025399999999999978,3.653420873507149,0.013381995133819964,0.012061995133819964,time,2025-09,ADA
2108,2109,2025-09-09 14:00:00,1,-1,0.007928670147826332,0.023600000000000065,2.976539515453304,0.010371053238073297,0.009051053238073297,time,2025-09,ADA
2154,2155,2025-09-11 12:00:00,1,-1,0.006065797081610813,0.0343,5.654656682134082,0.02416061705989109,0.022840617059891093,time,2025-09,ADA
2166,2167,2025-09-12 00:00:00,-1,1,0.006773076492020602,0.018100000000000005,2.6723454284509724,0.014065788016391675,0.012745788016391675,time,2025-09,ADA
2199,2200,2025-09-13 09:00:00,-1,1,0.007393563214959743,0.01869999999999994,2.529227039293226,0.024965907898877628,0.023645907898877626,time,2025-09,ADA
2203,2204,2025-09-13 13:00:00,1,-1,0.008413469881884236,0.02440000000000009,2.900111409745202,-0.014508214209515742,-0.01582821420951574,time,2025-09,ADA
2246,2247,2025-09-15 08:00:00,1,-1,0.009405909143304577,0.025599999999999956,2.721693311084431,0.007714786674459309,0.006394786674459309,time,2025-09,ADA
2275,2276,2025-09-16 13:00:00,1,-1,0.006102677683651595,0.01639999999999997,2.6873449410467427,0.012702078521939966,0.011382078521939966,time,2025-09,ADA
2303,2304,2025-09-17 17:00:00,1,-1,0.0066886193192258895,0.0242,3.6180860122266307,0.051498669135516706,0.050178669135516704,time,2025-09,ADA
2304,2305,2025-09-17 18:00:00,-1,1,0.007939432224995468,0.024800000000000044,3.123649059176168,-0.041762805722196594,-0.043082805722196596,time,2025-09,ADA
2391,2392,2025-09-21 09:00:00,1,-1,0.005466413924495995,0.016199999999999992,2.963551648989632,-0.00022609088853729254,-0.0015460908885372925,time,2025-09,ADA
2406,2407,2025-09-22 00:00:00,1,-1,0.005944308507349838,0.026900000000000035,4.525337129918398,-0.043060539414284074,-0.044380539414284076,time,2025-09,ADA
2408,2409,2025-09-22 02:00:00,1,-1,0.007595347641541448,0.019199999999999995,2.5278632270877104,-0.032046014790468355,-0.03336601479046836,time,2025-09,ADA
2411,2412,2025-09-22 05:00:00,1,-1,0.007938257568683152,0.02059999999999995,2.5950279166133443,-0.012969857091389494,-0.014289857091389494,time,2025-09,ADA
2412,2413,2025-09-22 06:00:00,1,-1,0.008849810599491494,0.056400000000000006,6.373017746079303,-0.006558173427252941,-0.00787817342725294,time,2025-09,ADA
2433,2434,2025-09-23 03:00:00,-1,1,0.008394727121068807,0.025000000000000022,2.978059874901217,-0.0,-0.00132,time,2025-09,ADA
2458,2459,2025-09-24 04:00:00,-1,1,0.008429881946308906,0.021499999999999964,2.5504509003728,-0.019118559900682768,-0.020438559900682766,time,2025-09,ADA
2490,2491,2025-09-25 12:00:00,-1,1,0.008303396635821204,0.021299999999999986,2.5652152888988686,0.0075197552893194195,0.0061997552893194195,time,2025-09,ADA
2563,2564,2025-09-28 13:00:00,-1,1,0.004244864406584463,0.0121,2.850503300230501,-0.029245039938160338,-0.030565039938160336,time,2025-09,ADA
2572,2573,2025-09-28 22:00:00,-1,1,0.0051132295620862035,0.01539999999999997,3.0117951507963885,0.019530284301606967,0.01821028430160697,time,2025-09,ADA
2587,2588,2025-09-29 13:00:00,-1,1,0.00592147275839472,0.020199999999999996,3.411313506654738,0.008434631605060814,0.007114631605060814,time,2025-09,ADA
2630,2631,2025-10-01 08:00:00,-1,1,0.0074046412780048925,0.02639999999999998,3.565331392679322,-0.01774290887145436,-0.019062908871454357,time,2025-10,ADA
2720,2721,2025-10-05 02:00:00,-1,1,0.005800715590535711,0.020199999999999996,3.4823289790242025,0.006747324336900916,0.005427324336900916,time,2025-10,ADA
2779,2780,2025-10-07 13:00:00,1,-1,0.008142539354675451,0.021100000000000008,2.5913292009923627,-0.034313725490196054,-0.035633725490196055,time,2025-10,ADA
2807,2808,2025-10-08 17:00:00,-1,1,0.008314145814504426,0.02510000000000001,3.0189511418252803,0.026690391459074692,0.025370391459074694,time,2025-10,ADA
2852,2853,2025-10-10 14:00:00,1,-1,0.00701998664132734,0.018199999999999994,2.592597526162633,-0.1739292364990689,-0.1752492364990689,time,2025-10,ADA
2853,2854,2025-10-10 15:00:00,1,-1,0.007818559024089672,0.030299999999999994,3.875394418158514,-0.1728679197033627,-0.1741879197033627,time,2025-10,ADA
2858,2859,2025-10-10 20:00:00,1,-1,0.009677038465615748,0.07379999999999998,7.626300160139345,-0.06156638280050262,-0.06288638280050261,time,2025-10,ADA
2859,2860,2025-10-10 21:00:00,1,-1,0.01425725000378605,0.4576,32.09595117420843,0.079552819183409,0.07823281918340899,time,2025-10,ADA
2900,2901,2025-10-12 14:00:00,-1,1,0.012977419613064953,0.033299999999999996,2.565995474668584,-0.07495457298606903,-0.07627457298606903,time,2025-10,ADA
2940,2941,2025-10-14 06:00:00,1,-1,0.011880806652439943,0.03069999999999995,2.5839996305044775,0.029506752789195546,0.028186752789195545,time,2025-10,ADA
2991,2992,2025-10-16 09:00:00,-1,1,0.008638811674662896,0.02639999999999998,3.055975867309338,0.042063020214030904,0.0407430202140309,time,2025-10,ADA
3063,3064,2025-10-19 09:00:00,-1,1,0.005760636789335795,0.017800000000000038,3.0899361738882325,-0.03351164254247952,-0.03483164254247952,time,2025-10,ADA
3116,3117,2025-10-21 14:00:00,-1,1,0.006387596240719105,0.029200000000000004,4.571359694568409,0.048071216617210824,0.04675121661721082,time,2025-10,ADA
3186,3187,2025-10-24 12:00:00,-1,1,0.0057799714774343135,0.016000000000000014,2.7681797501018632,-0.0007641754546844811,-0.002084175454684481,time,2025-10,ADA
3231,3232,2025-10-26 09:00:00,-1,1,0.0034681503786814683,0.009299999999999975,2.681544623083984,-0.015377657168701925,-0.016697657168701925,time,2025-10,ADA
3233,3234,2025-10-26 11:00:00,-1,1,0.0039000888469243253,0.013299999999999979,3.4101787220792623,-0.011286011286011362,-0.012606011286011362,time,2025-10,ADA
3244,3245,2025-10-26 22:00:00,-1,1,0.004438871423603568,0.01429999999999998,3.2215395841294594,0.011120866256950615,0.009800866256950615,time,2025-10,ADA
3284,3285,2025-10-28 14:00:00,1,-1,0.006375607603239312,0.02400000000000002,3.7643471012560634,-0.03128760529482541,-0.03260760529482541,time,2025-10,ADA
3312,3313,2025-10-29 18:00:00,1,-1,0.0070564649975880115,0.03820000000000001,5.413475445999839,-0.007423445716053071,-0.00874344571605307,time,2025-10,ADA
3322,3323,2025-10-30 04:00:00,1,-1,0.008279985753385583,0.025699999999999945,3.103870074835761,-0.036271078587337004,-0.037591078587337005,time,2025-10,ADA
3417,3418,2025-11-03 03:00:00,1,-1,0.006242265258331282,0.018199999999999994,2.9156082362423223,-0.04180456366486678,-0.043124563664866784,time,2025-11,ADA
3429,3430,2025-11-03 15:00:00,1,-1,0.007272532867193648,0.0595,8.18146869688333,0.020178149427376838,0.01885814942737684,time,2025-11,ADA
3443,3444,2025-11-04 05:00:00,1,-1,0.009347986610287537,0.027799999999999936,2.973902419736653,-0.017803598200899464,-0.019123598200899462,time,2025-11,ADA
3526,3527,2025-11-07 16:00:00,-1,1,0.009016665615847309,0.028299999999999992,3.1386325284438974,-0.033874382498235704,-0.035194382498235706,time,2025-11,ADA
3644,3645,2025-11-12 14:00:00,1,-1,0.00647620099309653,0.01749999999999996,2.7022014941559918,-0.03177668539325844,-0.03309668539325844,time,2025-11,ADA
3657,3658,2025-11-13 03:00:00,-1,1,0.00704313109183397,0.02290000000000003,3.2513948273021667,0.008592910848549995,0.007272910848549995,time,2025-11,ADA
3763,3764,2025-11-17 13:00:00,1,-1,0.0057738421192374545,0.020699999999999996,3.585134399680091,-0.02746331236897275,-0.028783312368972747,time,2025-11,ADA
