A,B,n_overlap,train_adf_p,beta,train_start,test_start,test_end
SAND,ETC,1348,0.6929782679487662,0.6512878164122612,2022-10-05,2024-08-09,2026-06-13
ADA,MATIC,1102,0.6987025585349701,0.8029015684884219,2022-01-05,2023-07-10,2025-01-10
LINK,MANA,1612,0.7006790163807708,0.29107480256883844,2022-01-14,2024-03-30,2026-06-13
ADA,SOL,1990,0.7061909194962324,0.5238997085696273,2021-01-01,2023-09-23,2026-06-13
MKR,SOL,1719,0.7089236326467983,0.30695933519750185,2021-01-01,2023-05-10,2025-09-15
APE,MATIC,1030,0.7123791464340572,0.8906039167005583,2022-03-18,2023-08-15,2025-01-10
MANA,MATIC,1101,0.7155295031199523,1.1881772077853368,2022-01-06,2023-07-10,2025-01-10
COMP,SOL,1990,0.7156761576077149,0.3381285740409126,2021-01-01,2023-09-23,2026-06-13
NEAR,MANA,1606,0.7168257255293135,1.1135182504108196,2022-01-20,2024-04-02,2026-06-13
AVAX,MATIC,1102,0.7200073591685503,1.3539012482778543,2022-01-05,2023-07-10,2025-01-10
BTC,XRP,1079,0.7216540569653048,0.4634497238387273,2021-01-01,2024-12-21,2026-06-13
LINK,SUSHI,1605,0.732441524087686,0.46788378682008835,2022-01-21,2024-04-02,2026-06-13
APE,SUSHI,1549,0.7346224178953685,1.12993650440126,2022-03-18,2024-04-30,2026-06-13
UNI,ETH,1990,0.7462975194215214,1.1765257394147455,2021-01-01,2023-09-23,2026-06-13
BNB,LINK,1612,0.7539474453058315,0.343484835072053,2022-01-14,2024-03-30,2026-06-13
APE,ALGO,1549,0.7568616822450556,1.0935807395315265,2022-03-18,2024-04-30,2026-06-13
APE,LTC,1549,0.7582482690801383,0.5377504718475465,2022-03-18,2024-04-30,2026-06-13
DOT,ETH,1655,0.7585686938710461,1.294024716527909,2021-12-02,2024-03-08,2026-06-13
BNB,SUSHI,1605,0.7606600906473292,0.3401501935775497,2022-01-21,2024-04-02,2026-06-13
AVAX,BTC,1669,0.7647771466444386,1.6425216348721396,2021-11-18,2024-03-01,2026-06-13
APE,DOGE,1549,0.7674149660196259,0.3740295727025385,2022-03-18,2024-04-30,2026-06-13
UNI,SOL,1990,0.76970385332563,0.2824475496009435,2021-01-01,2023-09-23,2026-06-13
MANA,DOGE,1620,0.7781230096003608,1.5474179622408253,2022-01-06,2024-03-26,2026-06-13
UNI,BNB,1990,0.7807189064130879,0.5308293008616841,2021-01-01,2023-09-23,2026-06-13
BNB,NEAR,1606,0.7895511727891775,0.22669038246856624,2022-01-20,2024-04-02,2026-06-13
ADA,BNB,1990,0.7951929789913961,0.84848000301684,2021-01-01,2023-09-23,2026-06-13
LINK,ATOM,1612,0.8012452900669235,0.5263855819010457,2022-01-14,2024-03-30,2026-06-13
MKR,BNB,1719,0.8072415449736481,0.45162647740301426,2021-01-01,2023-05-10,2025-09-15
NEAR,ALGO,1606,0.8207793973900415,1.0914111028461864,2022-01-20,2024-04-02,2026-06-13
AVAX,CRV,1669,0.8310024913433585,0.9226973331934463,2021-11-18,2024-03-01,2026-06-13
NEAR,MATIC,1087,0.8387225468423956,1.1456029108283747,2022-01-20,2023-07-17,2025-01-10
ALGO,MATIC,1100,0.8435754229577667,1.0830832008566722,2022-01-07,2023-07-11,2025-01-10
BTC,MATIC,1102,0.8534120114464137,0.5277893108911268,2022-01-05,2023-07-10,2025-01-10
CRV,BCH,1725,0.8617767751404191,0.8671510973961821,2021-09-23,2024-02-02,2026-06-13
AVAX,MANA,1620,0.9008128972401368,0.8623833945936642,2022-01-06,2024-03-26,2026-06-13
CRV,ETH,1725,0.9184621999552862,1.541255096383767,2021-09-23,2024-02-02,2026-06-13
AVAX,ALGO,1619,0.9205399813974873,0.8035867594834483,2022-01-07,2024-03-26,2026-06-13
DOT,MKR,1384,0.9206344675928451,1.0287174066070277,2021-12-02,2023-10-25,2025-09-15
BTC,CRV,1725,0.9380379129594592,0.30773171870184246,2021-09-23,2024-02-02,2026-06-13
SOL,NEAR,1606,0.9415270630607333,0.7506855164717091,2022-01-20,2024-04-02,2026-06-13
AVAX,MKR,1398,0.9437168190081732,1.3553401904438294,2021-11-18,2023-10-18,2025-09-15
XRP,ETH,1079,0.9518826188198929,0.4742714443503254,2021-01-01,2024-12-21,2026-06-13
BNB,ALGO,1619,0.9527204531974096,0.23782615209224922,2022-01-07,2024-03-26,2026-06-13
BNB,MANA,1620,0.963832370735045,0.24108721316802595,2022-01-06,2024-03-26,2026-06-13
BNB,APE,1549,0.9695622659306714,0.08806826849386677,2022-03-18,2024-04-30,2026-06-13
BTC,NEAR,1606,0.9716186617618024,0.20532474655984947,2022-01-20,2024-04-02,2026-06-13
CRV,SOL,1725,0.9745064087655819,0.6634004712971665,2021-09-23,2024-02-02,2026-06-13
BTC,ALGO,1619,0.9786911002895418,0.09748287020296119,2022-01-07,2024-03-26,2026-06-13
BTC,SUSHI,1605,0.9804587729716061,0.2540725218317129,2022-01-21,2024-04-02,2026-06-13
APE,NEAR,1549,0.9811775661215143,0.5788748413871837,2022-03-18,2024-04-30,2026-06-13
SOL,ALGO,1619,0.9873977579901232,0.6226864558186521,2022-01-07,2024-03-26,2026-06-13
BTC,MANA,1620,0.9890280053963494,0.16747672399996955,2022-01-06,2024-03-26,2026-06-13
SOL,MANA,1620,0.9939467542798502,0.7057357317867319,2022-01-06,2024-03-26,2026-06-13
